ID,Name,Sex,Age,Team,Games,Year,Season,City,Sport,Event,Medal,region
89174,Eike Onnen,M,34.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,Athletics Men's High Jump,,Germany
89562,Florian Orth,M,27.0,Germany,2016 Summer,2016,Summer,Rio de Janeiro,Track & Field,"Athletics Men's 5,000 metres",,Germany
89878,Ronny Ostwald,M,30.0,Germany,2004 Summer,2004,Summer,Athina,Track & Field,Athletics Men's 4 x 100 metres Relay,,Germany
90013,Bjrn Otto,M,34.0,Germany,2012 Summer,2012,Summer,London,Track & Field,Athletics Men's Pole Vault,Silver,Germany
90632,Dirk-Achim Pajonk,M,27.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Men's Decathlon,,Germany
91873,Melanie Paschke,F,26.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 100 metres,,Germany
91873,Melanie Paschke,F,26.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 200 metres,,Germany
91873,Melanie Paschke,F,26.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 4 x 100 metres Relay,,Germany
91889,Robert Pasemann,M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Pole Vault,,Germany
91889,Robert Pasemann,M,25.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's Long Jump,,Germany
92144,Kristin Patzwahl,F,27.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Women's 100 metres Hurdles,,Germany
92144,Kristin Patzwahl,F,31.0,Germany,1996 Summer,1996,Summer,Atlanta,Track & Field,Athletics Women's 100 metres Hurdles,,Germany
92218,Ernst Paulus,M,31.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's Discus Throw,,Germany
92925,Otto Paul Eberhard Peltzer,M,28.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,Athletics Men's 800 metres,,Germany
92925,Otto Paul Eberhard Peltzer,M,28.0,Germany,1928 Summer,1928,Summer,Amsterdam,Track & Field,"Athletics Men's 1,500 metres",,Germany
92925,Otto Paul Eberhard Peltzer,M,32.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 800 metres,,Germany
92925,Otto Paul Eberhard Peltzer,M,32.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,"Athletics Men's 1,500 metres",,Germany
92925,Otto Paul Eberhard Peltzer,M,32.0,Germany,1932 Summer,1932,Summer,Los Angeles,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
93622,"Jakob ""Jacques"" Person",M,23.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 400 metres,,Germany
93622,"Jakob ""Jacques"" Person",M,23.0,Germany,1912 Summer,1912,Summer,Stockholm,Track & Field,Athletics Men's 800 metres,,Germany
93781,Claus Peter,M,20.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's Hammer Throw,,Germany
93883,"Margarete ""Marga"" Petersen (Kallensee-)",F,32.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's 100 metres,,Germany
93883,"Margarete ""Marga"" Petersen (Kallensee-)",F,32.0,Germany,1952 Summer,1952,Summer,Helsinki,Track & Field,Athletics Women's 4 x 100 metres Relay,Silver,Germany
94351,Werner Pfeil,M,22.0,Germany,1960 Summer,1960,Summer,Roma,Track & Field,Athletics Men's High Jump,,Germany
94355,Ralph Ernst Pfersich,M,26.0,Germany,1992 Summer,1992,Summer,Barcelona,Track & Field,Athletics Men's 4 x 400 metres Relay,,Germany
