Age,Gold,Silver,Bronze
15,1,1,1
16,9,9,9
17,10,10,10
18,35,35,35
19,68,68,68
20,127,127,127
21,207,207,207
22,270,270,270
23,275,275,275
24,235,235,235
25,227,227,227
26,153,153,153
27,153,153,153
28,132,132,132
29,100,100,100
30,87,87,87
31,48,48,48
32,37,37,37
33,35,35,35
34,23,23,23
35,8,8,8
36,8,8,8
37,3,3,3
38,5,5,5
39,2,2,2
40,2,2,2
41,1,1,1
42,1,1,1
48,2,2,2
49,9,9,9
